SMILES,Name,IC50
CC(C)(O)Cn(nc1)c(c12)c(F)ccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC4,1417547,50
CC(C)(O)Cn(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC4,1417521,50
CC(C)(O)Cn(nc1)c(c12)nccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC4,1417576,50
c1[nH]ncc1-c(n2)cccc2C(=O)Nc(c3C(F)(F)F)cc(nc3)N(C4)CC[C@H]4C(C)(C)O,1446209,4040
CC(C)(O)[C@@H]1CCN(C1)c(nc2)cc(c2C(F)(F)F)NC(=O)c3cccc(n3)-c4cnn(c4)CC(F)(F)F,1446203,800
CC(C)(O)[C@@H]1CCN(C1)c(ncn2)cc2NC(=O)c3cccc(n3)-c4cnn(c4)CC(F)(F)F,1446237,1360
C1CC12[C@@](C#N)(C2)c(cc3)cc(c34)n(nc4)-c5cc(ncc5)N(C6)CC[C@H]6C(C)(C)O,1104655,0.9
C1CC12[C@](C#N)(C2)c(cc3)cc(c34)n(nc4)-c5cc(ncc5)N(C6)CC[C@H]6C(C)(C)O,1104654,1.8
C1CC12C(C#N)(C2)c(nc3)cc(c34)n(nc4)-c5cc(ncc5)N(C6)CC[C@H]6C(C)(C)O,1104660,3.4
C1CC12C(C#N)(C2)c(cc3)cc(c34)n(nc4)-c5cc(nnc5)N(C6)CC[C@H]6C(C)(C)O,1104664,2.7
C1CC12C(C#N)(C2)c(c(F)c3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)CC[C@H]6C(C)(C)O,1104652,2.6
CC(C)(O)[C@@H]1CCN(C1)c(ncn2)cc2-n(nc3)c(c34)cc(cc4)-c5ccn[nH]5,51515146,6
C1CC12CC(C#N)(C2)c(cc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)CC[C@H]6C(C)(C)O,51323679,0.9
C1CC12C(C#N)(C2)c(nc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)CC[C@H]6C(C)(C)O,1104644,0.7
C1CC12CC(C#N)(C2)c(nc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)CC[C@H]6C(C)(C)O,1110969,10.7
c1[nH]ncc1-c(n2)cccc2C(=O)Nc(c3C(F)(F)F)cc(cn3)N(C4)CC[C@H]4C(C)(C)O,1446150,9420
CC(C)(O)[C@@H]1CCN(C1)c(cn2)cc(c2C(F)(F)F)NC(=O)c3cccc(n3)-c4cnn(c4)CC(F)(F)F,51566228,0.7
CC(C)(O)[C@@H]1CCN(C1)c(cn2)cc(c2C(F)(F)F)NC(=O)c3cccc(n3)-c4cnn(c4)CC5(C(F)(F)F)CC5,51462623,0.3
CC(C)(O)[C@@H]1CCN(C1)c(cn2)cc(c2C(F)(F)F)NC(=O)c3cccc(n3)-c4cnn(c4)CC5CC5,51462622,0.4
CC(C)(O)[C@@H]1CCN(C1)c(cn2)cc(c2C(F)(F)F)NC(=O)c3cccc(n3)-c4cnn(c4)C5CCC5,51462620,1.3
C1CC12CC(C#N)(C2)c(cc3)cc(c34)n(nc4)-c5cc(ncn5)N(CCO6)C[C@H]6C(C)(C)O,1110982,0.9
